Position,Athlete,Time,Sex,Year
5,Vincent Kipruto,2:06:14,M,2017
6,Yuta Shitara,2:09:03,M,2017
7,Hiroaki Sano,2:11:24,M,2017
8,Ryan Vail,2:12:40,M,2017
9,Liam Adams,2:12:52,M,2017
10,Jonathan Mellor,2:12:57,M,2017
1,Gladys Cherono,2:20:23,F,2017
2,Ruti Aga,2:20:41,F,2017
3,Valary Aiyabei,2:20:53,F,2017
4,Helen Tola,2:22:51,F,2017
5,Anna Hahner,2:28:32,F,2017
6,Catherine Bertone,2:28:34,F,2017
7,Sonia Samuels,2:29:34,F,2017
8,Azucena Diaz,2:30:31,F,2017
9,Catarina Ribeiro,2:33:13,F,2017
10,Kim Dillen,2:33:24,F,2017
1,Eliud Kipchoge,2:01:39 WR,M,2018
2,Amos Kipruto,2:06:23,M,2018
3,Wilson Kipsang,2:06:48,M,2018
4,Shogo Nakamura,2:08:16,M,2018
5,Zersenay Tadese,2:08:46,M,2018
6,Yuki Sato,2:09:18,M,2018
7,Okubay Tsegay,2:09:56,M,2018
8,Daisuke Uekado,2:11:07,M,2018
9,Willy Canchanya,2:12:57,M,2018
10,Bart van Nunen,2:13:09,M,2018
1,Gladys Cherono,2:18:11,F,2018
2,Ruti Aga,2:18:34,F,2018
3,Tirunesh Dibaba,2:18:55,F,2018
4,Edna Kiplagat,2:21:18,F,2018
5,Mizuki Matsuda,2:22:23,F,2018
6,Helen Tola,2:22:48,F,2018
7,Honami Maeda,2:25:23,F,2018
8,Carla Salomé Rocha,2:25:27,F,2018
9,Miyuki Uehara,2:25:46,F,2018
10,Rei Ohara,2:27:29,F,2018
1,Kenenisa Bekele,2:01:41,M,2019
2,Birhanu Legese,2:02:48,M,2019
3,Sisay Lemma,2:03:36,M,2019
4,Jonathan Korir,2:06:45,M,2019
5,Felix Kandie,2:08:07,M,2019
6,Yohanes Gebregergish,2:08:26,M,2019
7,Dong Guojian,2:08:28,M,2019
8,Bethwel Yegon,2:08:35,M,2019
9,Kenta Murayama,2:08:56,M,2019
10,Abel Kipchumba,2:09:39,M,2019
1,Ashete Bekere,2:20:14,F,2019
2,Mare Dibaba,2:20:21,F,2019
3,Sally Chepyego Kaptich,2:21:06,F,2019
4,Helen Tola,2:21:36,F,2019
5,Sara Hall,2:22:16,F,2019
6,Melat Yisak Kejeta,2:23:57,F,2019
7,Sally Kipyego,2:25:10,F,2019
8,Haftamnesh Tesfaye,2:26:50,F,2019
9,Martina Strähl,2:31:24,F,2019
10,Nina Lauwaert,2:31:25,F,2019
1,Guye Adola,2:05:45,M,2021
2,Bethwel Yegon,2:06:14,M,2021
3,Kenenisa Bekele,2:06:47,M,2021
4,Tadu Abate,2:08:24,M,2021
5,Cosmas Muteti,2:08:45,M,2021
6,Philemon Kacheran,2:09:29,M,2021
7,Okubay Tsegay,2:10:37,M,2021
8,Benard Kimeli,2:10:50,M,2021
9,Hidekazu Hijikata,2:11:47,M,2021
10,Hosea Kipkemboi,2:12:25,M,2021
1,Gotytom Gebreslase,2:20:09,F,2021
2,Hiwot Gebrekidan,2:21:23,F,2021
3,Helen Tola,2:23:05,F,2021
4,Edith Chelimo,2:24:33,F,2021
5,Shure Demise,2:24:43,F,2021
6,Fancy Chemutai,2:24:58,F,2021
7,Izabela Paszkiewicz,2:27:41,F,2021
8,Ruth Chebitok,2:28:18,F,2021
9,Rabea Schöneborn,2:28:49,F,2021
10,Martina Strähl,2:30:37,F,2021
1,Eliud Kipchoge,2:01:09,M,2022
2,Mark Korir,2:05:58,M,2022
3,Tadu Abate,2:06:28,M,2022
4,Andamlak Belihu,2:06:40,M,2022
5,Abel Kipchumba,2:06:49,M,2022
6,Limenih Getachew,2:07:07,M,2022
7,Kenya Sonota,2:07:14,M,2022
8,Tatsuya Maruyama,2:07:50,M,2022
9,Kento Kikutani,2:07:56,M,2022
10,Zablon Chumba,2:08:01,M,2022
1,Tigist Assefa,2:15:37,F,2022
2,Rosemary Wanjiru,2:18:00,F,2022
3,Tigist Abayechew,2:18:03,F,2022
4,Workenesh Edesa,2:18:51,F,2022
5,Sisay Meseret Gola,2:20:58,F,2022
6,Keira D'Amato,2:21:48,F,2022
7,Rika Kaseda,2:21:55,F,2022
8,Ayuko Suzuki,2:22:02,F,2022
9,Sayaka Sato,2:22:13,F,2022
10,Vibian Chepkirui,2:22:21,F,2022
1,Eliud Kipchoge,2:02:42,M,2023
2,Vincent Kipkemoi,2:03:13,M,2023
3,Tadese Takele,2:03:24,M,2023
4,Ronald Korir,2:04:22,M,2023
5,Haftu Teklu,2:04:42,M,2023
6,Andualem Belay Shiferaw,2:04:44,M,2023
7,Amos Kipruto,2:04:49,M,2023
8,Philemon Kiplimo,2:04:56,M,2023
9,Amanal Petros,2:04:58,M,2023
10,Bonface Kimutai Kiplimo,2:05:05,M,2023
1,Tigst Assefa,2:11:53,F,2023
2,Sheila Chepkirui,2:17:49,F,2023
3,Magdalena Shauri,2:18:41,F,2023
4,Zeineba Yimer,2:19:07,F,2023
5,Senbere Teferi,2:19:21,F,2023
6,Dera Dida,2:19:24,F,2023
7,Workenesh Edesa,2:19:40,F,2023
8,Helen Bekele,2:19:44,F,2023
9,Charlotte Purdue,2:22:17,F,2023
10,Fikrte Wereta,2:23:01,F,2023
1,Milkesa Mengesha,2:03:17,M,2024
2,Cybrian Kotut,2:03:22,M,2024
3,Haymanot Alew,2:03:31,M,2024
4,Stephen Kiprop,2:03:37,M,2024
5,Hailemariyam Kiros,2:04:35,M,2024
6,Yohei Ikeda,2:05:12,M,2024
7,Tadese Takele,2:05:13,M,2024
8,Kibrom Oqbe Ruesom,2:05:37,M,2024
9,Enock Onchari,2:05:53,M,2024
10,Kindie Derseh Kassie,2:05:54,M,2024
1,Tigist Ketema,2:16:42,F,2024
2,Mestawot Fikir,2:18:48,F,2024
