Position,Athlete,Time,Sex,Year
8,Yoshiki Takenouchi,2:11:18,M,2019
9,Abdi Abdirahman,2:11:34,M,2019
10,Connor McMillan,2:12:07,M,2019
11,Arne Gabius,2:12:57,M,2019
12,Daniel Mesfun,2:13:09,M,2019
13,Birhanu Dare Kemal,2:13:35,M,2019
14,Tyler Pennel,2:14:10,M,2019
15,John Raneri,2:14:13,M,2019
16,Patricio Castillo,2:14:16,M,2019
17,Tadesse Yae Dabi,2:14:24,M,2019
18,Tyler Jermann,2:15:38,M,2019
19,Joe Whelan,2:16:10,M,2019
20,Louis Serafini,2:16:34,M,2019
1,Albert Korir,2:08:22,M,2021
2,Mohamed El Aaraby,2:09:06,M,2021
3,Eyob Faniel,2:09:52,M,2021
4,Elkanah Kibet,2:11:15,M,2021
5,Abdi Nageeye,2:11:39,M,2021
6,Kenenisa Bekele,2:12:52,M,2021
7,Ben TRUE,2:12:53,M,2021
8,Nathan Martin,2:12:57,M,2021
9,Kibiwott Kandie,2:13:43,M,2021
10,Jared Ward,2:14:06,M,2021
11,Patricio Castillo,2:14:11,M,2021
12,John Raneri,2:15:36,M,2021
13,Akira Tomiyasu,2:16:39,M,2021
14,Shadrack Biwott,2:16:50,M,2021
15,Thijs Nijhuis,2:17:25,M,2021
16,Ryan Archer,2:18:57,M,2021
17,Augustine Choge,2:20:53,M,2021
18,Alvaro Abreu,2:20:53,M,2021
19,Brian Shrader,2:21:55,M,2021
20,Teshome Mekonen,2:22:16,M,2021
1,Evans Chebet,2:08:41,M,2022
2,Shura Kitata,2:08:54,M,2022
3,Abdi Nageeye,2:10:31,M,2022
4,Mohamed El Aaraby,2:11:00,M,2022
5,Suguru Osako,2:11:31,M,2022
6,Tetsuya Yoroizaka,2:12:12,M,2022
7,Albert Korir,2:13:27,M,2022
8,Daniele Meucci,2:13:29,M,2022
9,Scott Fauble,2:13:35,M,2022
10,Reed Fischer,2:15:23,M,2022
11,Jared Ward,2:17:09,M,2022
12,Matthew Baxter,2:17:15,M,2022
13,Leonard Korir,2:17:29,M,2022
14,Matthew Llano,2:20:04,M,2022
15,Olivier Irabaruta,2:20:14,M,2022
16,Hendrik Pfeiffer,2:22:31,M,2022
17,Jonas Hampton,2:22:58,M,2022
18,Alberto Mena,2:23:10,M,2022
19,Jacob Shiohira,2:23:33,M,2022
20,Edward Mulder,2:23:42,M,2022
1,Tamirat Tola,2:04:58,M,2023
2,Albert Korir,2:06:57,M,2023
3,Shura Kitata,2:07:11,M,2023
4,Abdi Nageeye,2:10:21,M,2023
5,Koen Naert,2:10:25,M,2023
6,Maru Teferi,2:10:28,M,2023
7,Iliass Aouani,2:10:54,M,2023
8,Edward Cheserek,2:11:07,M,2023
9,Jemal Yimer,2:11:31,M,2023
10,Futsum Zienasellassie,2:12:09,M,2023
11,Elkanah Kibet,2:12:23,M,2023
12,Hendrik Pfeiffer,2:12:53,M,2023
13,Sydney Gidabuday,2:14:34,M,2023
14,Nathan Martin,2:16:16,M,2023
15,Erenjia Jia,2:16:50,M,2023
16,Joe Whelan,2:17:32,M,2023
17,Garret Lee,2:18:35,M,2023
18,Ryan Root,2:19:20,M,2023
19,Wesley Robinson,2:20:23,M,2023
20,Thomas Slattery,2:20:45,M,2023
1,Abdi Nageeye,2:07:39,M,2024
2,Evans Chebet,2:07:45,M,2024
3,Albert Korir,2:08:00,M,2024
4,Tamirat Tola,2:08:12,M,2024
5,Geoffrey Kamworor,2:08:50,M,2024
6,Conner Mantz,2:09:00,M,2024
7,Clayton Young,2:09:21,M,2024
8,Abel Kipchumba,2:10:39,M,2024
9,Bashir Abdi,2:10:39,M,2024
10,Cj Albertson,2:10:57,M,2024
11,Ryan Ford,2:11:08,M,2024
12,Colin Bennie,2:11:16,M,2024
13,Frank Lara,2:11:21,M,2024
14,Jonny Mellor,2:11:22,M,2024
15,Rory Linkletter,2:11:45,M,2024
16,Wesley Kiptoo,2:11:58,M,2024
17,Futsum Zienasellassie,2:12:32,M,2024
18,Joel Reichow,2:12:52,M,2024
19,Elkanah Kibet,2:13:27,M,2024
20,Ryan Eiler,2:13:36,M,2024
1,Benson Kipruto,2:08:09,M,2025
2,Alexander Mutiso,2:08:09,M,2025
3,Albert Korir,2:08:57,M,2025
4,Patrick Dever,2:08:58,M,2025
5,Matthias Kyburz,2:09:55,M,2025
